ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011
HD01_VD417,Structural metal fabricators and fitters,23431,23979,22590,20509,23300,19659,43039,38770,41335,40196,40803,41901
HD01_VD503,"Subway, streetcar, and other rail transportation workers",14379,13012,11165,9669,9115,7992,66028,61449,61113,59028,55280,51629
HD01_VD491,Supervisors of transportation and material moving workers,196226,191955,180426,185456,170914,188834,51318,50083,50717,50107,48804,48968
HD01_VD108,Survey researchers,1453,929,947,836,1164,956,64230,90354,47236,70521,75833,51735
HD01_VD96,Surveying and mapping technicians,55079,50931,56276,45449,47417,47289,50071,50504,50838,48685,47181,50074
HD01_VD77,"Surveyors, cartographers, and photogrammetrists",27429,25698,30688,31315,29976,30445,61119,61862,57018,59354,53362,54480
HD01_VD280,"Switchboard operators, including answering service",17734,19750,18557,20377,20078,24749,30456,28733,26952,25878,27396,29400
HD01_VD453,"Tailors, dressmakers, and sewers",38822,43544,42695,42018,43485,48890,26152,25443,26373,22621,24856,23411
HD01_VD525,"Tank car, truck, and ship loaders",4198,4723,3994,4741,3777,5146,44079,50365,32318,40401,45456,38977
HD01_VD57,"Tax examiners and collectors, and revenue agents",42395,50457,50454,50960,48605,50943,51797,51028,51944,49380,51053,51758
HD01_VD58,Tax preparers,55325,52627,52982,51485,45752,42961,55336,52136,52451,56047,46546,48449
HD01_VD498,Taxi drivers and chauffeurs,302027,265304,237024,196209,198897,204502,27925,27420,27206,26200,26902,26127
HD01_VD141,Teacher assistants,421376,410201,411405,371321,373734,375595,22682,22150,21634,21125,20555,20397
HD01_VD155,Technical writers,47360,43179,47369,43977,42745,41555,71388,68642,66590,69242,69436,63989
HD01_VD403,Telecommunications line installers and repairers,125604,131790,114904,118663,129254,131992,50164,47745,50352,48906,48560,50234
HD01_VD276,Telemarketers,41866,36741,38731,44182,47996,47222,25732,25385,25063,25628,24058,25105
HD01_VD281,Telephone operators,24570,25954,28220,28046,22927,30369,31443,30710,30644,29587,29770,27492
HD01_VD160,"Television, video, and motion picture camera operators and editors",37742,38581,27759,28620,26460,30250,51138,46655,50147,50835,49986,48501
HD01_VD289,Tellers,211343,222682,228539,233474,243968,246775,26405,26514,25876,25260,25165,24486
HD01_VD454,Textile bleaching and dyeing machine operators and tenders,1234,2451,3636,1989,2919,2698,26938,31399,25546,30170,23307,27278
HD01_VD455,"Textile cutting machine setters, operators, and tenders",6067,5925,6055,4006,4155,5516,22483,24248,26584,24492,20754,23988
HD01_VD456,"Textile knitting and weaving machine setters, operators, and tenders",7421,7156,6424,6615,7204,8079,28490,24854,30671,27247,26366,25350
HD01_VD457,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",9640,11708,10083,9594,9496,11039,26440,25963,26099,25266,25727,23919
HD01_VD488,Tire builders,12530,13082,11516,14330,13464,12035,41969,44488,50843,49825,46561,43067
HD01_VD439,Tool and die makers,50267,52096,52437,51409,54690,50421,55390,55475,52840,54084,51527,51482
HD01_VD444,"Tool grinders, filers, and sharpeners",5015,4042,4744,4643,4971,4178,44996,46744,37108,40022,35631,36668
HD01_VD255,Tour and travel guides,18870,17915,15875,15628,16526,15067,30693,27135,27641,29404,30318,27158
HD01_VD13,Training and development managers,49960,45083,42441,41185,37740,38932,72153,74067,75739,74735,71745,71370
HD01_VD41,Training and development specialists,111303,124732,104051,105954,90873,93107,58739,56712,54215,52417,56855,53615
HD01_VD215,Transit and railroad police,747,2915,1549,2623,3056,1992,75603,44818,61442,53590,51875,64222
HD01_VD511,"Transportation attendants, except flight attendants",15697,13589,10943,11113,12611,15761,29067,27786,32938,30763,28878,28637
HD01_VD510,Transportation inspectors,39784,41392,41802,35783,35961,38692,60174,54918,57458,55959,55188,52263
HD01_VD220,Transportation security screeners,33438,23262,22644,21025,22215,19429,41793,41487,40748,41104,40785,41068
HD01_VD16,"Transportation, storage, and distribution managers",222794,208783,197645,185512,194727,184551,52485,52382,51790,52058,50730,50609
HD01_VD270,Travel agents,49901,51045,53306,46577,53981,48548,41744,40649,39306,37233,38906,37894
HD01_VD459,Upholsterers,23251,25446,25207,24713,25561,26864,33082,30621,28450,29397,29637,29026
HD01_VD110,Urban and regional planners,21747,20118,19217,17145,18680,17161,70647,71387,71496,67392,69242,66179
HD01_VD247,"Ushers, lobby attendants, and ticket takers",6511,8040,6175,5964,6076,7714,28929,24079,25024,22057,24466,20767
HD01_VD177,Veterinarians,65797,56815,62082,57599,58514,51033,90063,90378,87898,86490,81606,89955
HD01_VD201,Veterinary assistants and laboratory animal caretakers,28193,29360,25916,23366,20649,23315,26441,25504,26224,22858,22803,25029
HD01_VD229,Waiters and waitresses,734635,733624,701881,680777,687379,673621,22252,21647,21238,20980,20477,20379
HD01_VD468,Water and wastewater treatment plant and system operators,78358,74759,77537,80472,76453,76390,48818,50262,46654,45638,45586,45291
HD01_VD65,Web developers,138048,139635,145465,136446,129224,120959,63173,61543,61023,60056,57306,56901
HD01_VD318,"Weighers, measurers, checkers, and samplers, recordkeeping",58258,60025,62783,61712,60502,56554,35545,36196,34284,35476,33073,32906
HD01_VD440,"Welding, soldering, and brazing workers",475547,514255,507586,488957,474719,429885,40394,40548,39371,38137,37368,37188
HD01_VD34,"Wholesale and retail buyers, except farm products",139871,138703,136489,170412,159186,151995,41625,42479,42159,42170,42980,43244
HD01_VD464,"Woodworking machine setters, operators, and tenders, except sawing",15419,13443,14401,20413,12943,12837,27718,25849,27081,26115,25572,29909
HD01_VD322,Word processors and typists,198318,197811,194758,217182,199429,191227,34645,35048,33942,32507,33389,32373
HD01_VD156,Writers and authors,132235,131816,126601,121198,125403,108771,55464,56930,58150,53964,54179,55502
